id,type,properties,geometry
76,Feature,"{'id': '1138', 'modern': 'Pölich', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.8483942651318, 49.796438868419]}"
77,Feature,"{'id': '1142', 'modern': 'Ensch', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.8360628559437, 49.825728515864]}"
78,Feature,"{'id': '1144', 'modern': 'Klüsserath', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.8619260637997, 49.845830737035]}"
79,Feature,"{'id': '1146', 'modern': 'Leiwen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.88184168975, 49.8221545015]}"
80,Feature,"{'id': '1150', 'modern': 'Veldenz', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.02335807011, 49.8894563391]}"
81,Feature,"{'id': '1156', 'modern': 'Auf der Hals', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.90663245031, 49.9660856355]}"
82,Feature,"{'id': '1161', 'modern': 'Bickendorf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.492302779429, 50.044146042954]}"
83,Feature,"{'id': '1163', 'modern': 'Birgel', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.61743276369, 50.3210193554]}"
84,Feature,"{'id': '1168', 'modern': 'Bleialf', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.2818760169019, 50.232825326834]}"
85,Feature,"{'id': '1176', 'modern': 'Ernzen', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 200, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [6.42634913386, 49.8413244837]}"
