id,type,properties,geometry,country
48,Feature,"{'id': '946', 'modern': 'Gundersheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2035, 49.6956]}",['DE']
49,Feature,"{'id': '947', 'modern': 'Gundheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.233738, 49.672844]}",['DE']
50,Feature,"{'id': '956', 'modern': 'Weinheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.064377, 49.736097]}",['DE']
51,Feature,"{'id': '965', 'modern': 'Eppelsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.1659632, 49.7033343]}",['DE']
52,Feature,"{'id': '973', 'modern': 'Pleitersheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.9544012, 49.8367486]}",['DE']
53,Feature,"{'id': '976', 'modern': 'Schwabenheim an der Selz', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.095288, 49.932416]}",['DE']
54,Feature,"{'id': '977', 'modern': 'Dromersheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.9660454, 49.9243715]}",['DE']
55,Feature,"{'id': '978', 'modern': 'Aspisheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 20, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [7.983853, 49.90726]}",['DE']
56,Feature,"{'id': '979', 'modern': 'Partenheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.0758, 49.8822]}",['DE']
57,Feature,"{'id': '981', 'modern': 'Gau-Bischofsheim', 'latin': '', 'greek': '', 'ancient': 0, 'major': 0, 'type': '14', 'building': 0, 'accuracy': 2000, 'startyear': 0, 'endyear': 0}","{'type': 'Point', 'coordinates': [8.2725334, 49.914833]}",['DE']
